model,accuracy,precision,recall,f1,auc,cv_accuracy_mean,cv_accuracy_std
LogisticRegression,0.8486215538847118,0.883396336144228,0.7901170351105331,0.8341570565623284,0.9133782311235088,0.8515930325971596,0.0032109680882198457
SVM,0.8659147869674185,0.9039301310043668,0.8075422626788037,0.853021978021978,0.9193977637063793,0.8646887369606846,0.003504811648697603
RandomForest,0.8651629072681705,0.890329856216521,0.8213263979193758,0.8544372294372294,0.9311120615507505,0.8626523175791586,0.0033184180041984195
