Environment,Classifier_Accuracy,Regression_RMSE
Office 1,0.853538027174872,1.0485934484397366
Office 2,0.8429752066115702,1.038573528045395
Small Apartment,0.8602451838879159,1.0420133403492111
Small Workshop,0.8502795248078266,1.069423041979043
Kitchen/Living Room,0.8523384130320546,1.0631007487722888
Bedroom,0.8529308529308529,1.0678259026604267
Boiler Room,0.8586956521739131,1.0652987091197492
