model,rmse,mae,r2,cv_rmse_mean,cv_rmse_std
LinearRegression,1.3751578110457647,1.076814988600315,0.314175800133925,1.3329387908622852,0.00989649759349502
RandomForest,1.3059283314819967,1.019389093107618,0.3814904452028759,1.2669754707986685,0.0036690351480868667
NeuralNetwork,1.2440199507272591,0.9519247825588302,0.4387421657336005,1.212578689810892,0.006183302830532447
