model,rmse,mae,r2
LinearRegression,1.547797798802612,1.2060490377128683,0.24288834425008898
RandomForest,1.5728841946309706,1.225871887966805,0.21814722922299012
NeuralNetwork,1.5536342669439167,1.1950545214887849,0.2371677140455889
