model,accuracy,precision,recall,f1,auc,cv_accuracy_mean,cv_accuracy_std
LogisticRegression,0.8481203007518797,0.8834838333818817,0.788816644993498,0.8334707337180544,0.915051724707255,0.8525642743471558,0.0033394716085245915
SVM,0.8682957393483709,0.9032909930715936,0.8137841352405721,0.8562046791626762,0.9241008989516686,0.8665058973612945,0.002598421757217321
RandomForest,0.8675438596491228,0.8926760563380282,0.8241872561768531,0.8570655848546315,0.9363837518849367,0.8656913364800062,0.0037398931066672816
